StudentID,SchoolCode,ClassRank,ClassSize,ClassRank1012,GPA_CumulativeAcademic,GPA_CumulativeTotal,GPA_CumulativeAcademic1012,GPA_CumulativeAcademicNonWeighted,GPA_CumulativeTotalNonWeighted,GPA_CumulativeAcademic1012NonWeighted,GradePointsCumulative,GPA_UC_Preliminary,GPA_CSU_Preliminary,GPA_CumulativeCitizenship,GPA_GradeReportingCitizenship,CreditsAttempted,CreditsCompleted,GPA_GradeReportingAcademic,GPA_GradeReportingTotal,GPA_GradeReportingAcademicNonWeighted,GPA_GradeReportingTotalNonWeighted,GradeReportingClassRank,GradeReportingClassSize,GradeReportingCreditsAttempted,GradeReportingCreditsCompleted,AcademicYear,ExtractedAt
41857,16,119,226,1,3.7129,3.7129,0.0,3.7129,3.7129,0.0,23.02,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
42004,16,1,226,1,4.0,4.0,0.0,4.0,4.0,0.0,43.2,0.0,0.0,0.0,0.0,57.0,57.0,4.0,4.0,4.0,4.0,1,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42043,16,140,226,1,3.3209,3.3209,0.0,3.3209,3.3209,0.0,28.56,0.0,0.0,0.0,0.0,60.0,51.0,1.34,1.34,1.34,1.34,216,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42052,16,189,226,1,2.8878,2.8878,0.0,2.8878,2.8878,0.0,23.68,0.0,0.0,0.0,0.0,51.0,49.0,2.175,2.175,2.175,2.175,193,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42074,16,194,226,1,2.87,2.87,0.0,2.87,2.87,0.0,28.7,0.0,0.0,0.0,0.0,57.0,56.0,2.34,2.34,2.34,2.34,187,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42093,16,32,226,1,3.975,3.975,0.0,3.975,3.975,0.0,38.16,0.0,0.0,0.0,0.0,51.0,51.0,4.0,4.0,4.0,4.0,1,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
42287,16,204,226,1,2.6085,2.6085,0.0,2.6085,2.6085,0.0,24.52,0.0,0.0,0.0,0.0,54.0,54.0,1.25,1.25,1.25,1.25,218,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42384,16,99,226,1,3.81,3.81,0.0,3.81,3.81,0.0,38.1,0.0,0.0,0.0,0.0,54.0,54.0,3.6,3.6,3.6,3.6,117,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42389,16,202,226,1,2.6761,2.6761,0.0,2.6761,2.6761,0.0,24.62,0.0,0.0,0.0,0.0,57.0,53.0,1.35,1.35,1.35,1.35,215,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42408,16,86,226,1,3.8789,3.8789,0.0,3.8789,3.8789,0.0,44.22,0.0,0.0,0.0,0.0,60.0,60.0,3.85,3.85,3.85,3.85,87,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42409,16,170,226,1,3.1442,3.1442,0.0,3.1442,3.1442,0.0,32.7,0.0,0.0,0.0,0.0,60.0,60.0,2.1167,2.1167,2.1167,2.1167,195,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42410,16,38,226,1,3.9704,3.9704,0.0,3.9704,3.9704,0.0,42.88,0.0,0.0,0.0,0.0,57.0,57.0,4.0,4.0,4.0,4.0,1,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42411,16,104,226,1,3.8175,3.8175,0.0,3.8175,3.8175,0.0,43.52,0.0,0.0,0.0,0.0,60.0,60.0,3.9,3.9,3.9,3.9,73,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42417,16,107,226,1,3.7604,3.7604,0.0,3.7604,3.7604,0.0,39.86,0.0,0.0,0.0,0.0,57.0,57.0,3.4,3.4,3.4,3.4,135,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42418,16,70,226,1,3.9021,3.9021,0.0,3.9021,3.9021,0.0,37.46,0.0,0.0,0.0,0.0,51.0,51.0,3.7667,3.7667,3.7667,3.7667,99,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
42421,16,168,226,1,3.2809,3.2809,0.0,3.2809,3.2809,0.0,30.84,0.0,0.0,0.0,0.0,54.0,54.0,2.8,2.8,2.8,2.8,169,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42423,16,40,226,1,3.9688,3.9688,0.0,3.9688,3.9688,0.0,38.1,0.0,0.0,0.0,0.0,51.0,51.0,4.0,4.0,4.0,4.0,1,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
42426,16,1,226,1,4.0,4.0,0.0,4.0,4.0,0.0,38.4,0.0,0.0,0.0,0.0,51.0,51.0,4.0,4.0,4.0,4.0,1,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
42436,16,44,226,1,3.9614,3.9614,0.0,3.9614,3.9614,0.0,45.16,0.0,0.0,0.0,0.0,60.0,60.0,4.0,4.0,4.0,4.0,1,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42438,16,97,226,1,3.8509,3.8509,0.0,3.8509,3.8509,0.0,43.9,0.0,0.0,0.0,0.0,60.0,60.0,4.0,4.0,4.0,4.0,1,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42448,16,190,226,1,2.96,2.96,0.0,2.96,2.96,0.0,23.68,0.0,0.0,0.0,0.0,51.0,51.0,3.1333,3.1333,3.1333,3.1333,158,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
42452,16,1,226,1,4.0,4.0,0.0,4.0,4.0,0.0,40.8,0.0,0.0,0.0,0.0,54.0,54.0,4.0,4.0,4.0,4.0,1,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42453,16,40,226,1,3.9704,3.9704,0.0,3.9704,3.9704,0.0,42.88,0.0,0.0,0.0,0.0,60.0,60.0,4.0,4.0,4.0,4.0,1,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42456,16,30,226,1,3.9684,3.9684,0.0,3.9684,3.9684,0.0,45.24,0.0,0.0,0.0,0.0,60.0,60.0,3.9,3.9,3.9,3.9,73,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42457,16,126,226,1,3.6636,3.6636,0.0,3.6636,3.6636,0.0,40.3,0.0,0.0,0.0,0.0,60.0,60.0,3.7167,3.7167,3.7167,3.7167,105,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42461,16,25,226,1,3.9854,3.9854,0.0,3.9854,3.9854,0.0,32.68,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2020-2021,2026-02-22T00:16:12.625272
42462,16,127,226,1,3.6638,3.6638,0.0,3.6638,3.6638,0.0,42.5,0.0,0.0,0.0,0.0,63.0,63.0,3.7143,3.7143,3.7143,3.7143,107,224,7.0,7.0,2020-2021,2026-02-22T00:16:12.625272
42466,16,50,226,1,3.9281,3.9281,0.0,3.9281,3.9281,0.0,44.78,0.0,0.0,0.0,0.0,60.0,60.0,3.85,3.85,3.85,3.85,87,224,6.0,6.0,2020-2021,2026-02-22T00:16:12.625272
42467,16,20,226,1,3.9933,3.9933,0.0,3.9933,3.9933,0.0,35.94,0.0,0.0,0.0,0.0,48.0,48.0,4.0,4.0,4.0,4.0,1,224,2.0,2.0,2020-2021,2026-02-22T00:16:12.625272
42479,16,56,226,1,3.9093,3.9093,0.0,3.9093,3.9093,0.0,42.22,0.0,0.0,0.0,0.0,57.0,57.0,3.74,3.74,3.74,3.74,103,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42482,16,31,226,1,3.9765,3.9765,0.0,3.9765,3.9765,0.0,40.56,0.0,0.0,0.0,0.0,54.0,54.0,4.0,4.0,4.0,4.0,1,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42484,16,58,226,1,3.9292,3.9292,0.0,3.9292,3.9292,0.0,37.72,0.0,0.0,0.0,0.0,51.0,51.0,4.0,4.0,4.0,4.0,1,224,3.0,3.0,2020-2021,2026-02-22T00:16:12.625272
42485,16,121,226,1,3.7275,3.7275,0.0,3.7275,3.7275,0.0,38.02,0.0,0.0,0.0,0.0,54.0,54.0,4.0,4.0,4.0,4.0,1,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
42486,16,38,226,1,3.9648,3.9648,0.0,3.9648,3.9648,0.0,42.82,0.0,0.0,0.0,0.0,57.0,57.0,3.94,3.94,3.94,3.94,63,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42491,16,78,226,1,3.9019,3.9019,0.0,3.9019,3.9019,0.0,42.14,0.0,0.0,0.0,0.0,57.0,57.0,3.94,3.94,3.94,3.94,63,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42492,16,139,226,1,3.4926,3.4926,0.0,3.4926,3.4926,0.0,37.72,0.0,0.0,0.0,0.0,57.0,57.0,2.54,2.54,2.54,2.54,184,224,5.0,5.0,2020-2021,2026-02-22T00:16:12.625272
42495,16,165,226,1,3.3542,3.3542,0.0,3.3542,3.3542,0.0,32.2,0.0,0.0,0.0,0.0,54.0,53.0,3.35,3.35,3.35,3.35,140,224,4.0,4.0,2020-2021,2026-02-22T00:16:12.625272
