Entity,Attribute,DataType,Pseudonymization,Description
academic_records,_loaded_date,TIMESTAMP,no-op,Date record was loaded into Stage 1
academic_records,_updated_date,TIMESTAMP,no-op,Date record was last updated
academic_records,assignment_due_date,DATE,no-op,Due date for the assignment
academic_records,assignment_grade_letter,VARCHAR,no-op,Letter grade for assignment
academic_records,assignment_grade_percent,FLOAT,no-op,Grade percentage (0-100 scale)
academic_records,assignment_id,VARCHAR,no-op,Unique assignment identifier
academic_records,assignment_name,VARCHAR,no-op,Human-readable assignment name
academic_records,assignment_submission_date,DATE,no-op,Date assignment was submitted (NULL if not submitted)
academic_records,assignment_type,VARCHAR,no-op,Type of assignment (homework/quiz/exam/project/discussion/participation)
academic_records,course_id,VARCHAR,no-op,Course identifier
academic_records,feedback_date,DATE,no-op,Date feedback was provided
academic_records,feedback_provided,BOOLEAN,no-op,Flag indicating teacher feedback was given
academic_records,late_days,INT,no-op,Number of days late submission
academic_records,mastery_level,VARCHAR,no-op,Mastery level (novice/developing/proficient/advanced)
academic_records,on_time_flag,BOOLEAN,no-op,Flag indicating on-time submission
academic_records,points_earned,FLOAT,no-op,Points earned on assignment
academic_records,points_possible,FLOAT,no-op,Total points possible
academic_records,record_id,VARCHAR,no-op,Unique academic record identifier
academic_records,rubric_score,FLOAT,no-op,Rubric-based assessment score
academic_records,school_id,VARCHAR,no-op,School identifier
academic_records,student_id,VARCHAR,hash,Student identifier (hashed for privacy)
academic_records,submission_status,VARCHAR,no-op,Submission status (submitted/missing/excused/incomplete)
academic_records,teacher_id,VARCHAR,hash,Teacher identifier (hashed for privacy)
academic_records,term,VARCHAR,no-op,Academic term (semester/trimester/year)
attendance,_loaded_date,TIMESTAMP,no-op,Date record was loaded into Stage 1
attendance,_updated_date,TIMESTAMP,no-op,Date record was last updated
attendance,absence_reason,VARCHAR,no-op,Reason for absence (illness/appointment/family_emergency/disciplinary)
attendance,absence_type,VARCHAR,no-op,Type of absence (excused/unexcused/medical/OSS/ISS/field_trip)
attendance,attendance_date,DATE,no-op,Date of attendance record
attendance,attendance_id,VARCHAR,no-op,Unique attendance record identifier
attendance,attendance_pattern,VARCHAR,no-op,Attendance pattern trend (improving/declining/stable/at_risk)
attendance,checkin_time,TIME,no-op,Time student checked in
attendance,checkout_time,TIME,no-op,Time student checked out (if tracked)
attendance,chronic_absence_flag,BOOLEAN,no-op,Chronic absenteeism indicator (based on threshold)
attendance,course_id,VARCHAR,no-op,Course identifier (for period-specific attendance)
attendance,early_departure_flag,BOOLEAN,no-op,Flag indicating early departure
attendance,is_present,BOOLEAN,no-op,Flag indicating student was present
attendance,makeup_assignment_required,BOOLEAN,no-op,Flag indicating makeup work required
attendance,parent_notification_sent,BOOLEAN,no-op,Flag indicating parent was notified
attendance,partial_absence_duration,INT,no-op,Duration of partial absence in minutes
attendance,period_or_class,VARCHAR,no-op,Class period or period identifier
attendance,school_id,VARCHAR,no-op,School identifier
attendance,student_id,VARCHAR,hash,Student identifier (hashed for privacy)
attendance,tardy_flag,BOOLEAN,no-op,Flag indicating student was tardy
attendance,teacher_id,VARCHAR,hash,Teacher identifier (hashed for privacy)
courses,_loaded_date,TIMESTAMP,no-op,Date record was loaded
courses,_updated_date,TIMESTAMP,no-op,Date record was last updatedEntity,Attribute,DataType,Pseudonymization,Description
courses,course_code,VARCHAR,no-op,Course code (e.g., ELA101)
courses,course_description,VARCHAR,no-op,Course description
courses,course_id,VARCHAR,no-op,Unique course identifier from SIS
courses,course_name,VARCHAR,no-op,Human-readable course name
courses,course_type,VARCHAR,no-op,Type (regular/honors/AP/IB/CTE/special ed)
courses,credit_value,FLOAT,no-op,Credit hours for the course
courses,end_date,DATE,no-op,Course end date
courses,grade_level,VARCHAR,no-op,Target grade level
courses,max_enrollment,INT,no-op,Maximum student enrollment
courses,min_enrollment,INT,no-op,Minimum student enrollment
courses,school_id,VARCHAR,no-op,School offering the course
courses,start_date,DATE,no-op,Course start date
courses,status,VARCHAR,no-op,Course status (active/inactive/cancelled)
courses,subject_area,VARCHAR,no-op,Subject area (Math/ELA/Science/Social Studies/etc)
courses,teacher_id,VARCHAR,hash,Primary instructor identifier
courses,term,VARCHAR,no-op,Academic term (semester/trimester/year)
engagement_events,_loaded_date,TIMESTAMP,no-op,Date record was loaded into Stage 1
engagement_events,_updated_date,TIMESTAMP,no-op,Date record was last updated
engagement_events,content_interaction_flag,BOOLEAN,no-op,Flag indicating meaningful content interaction
engagement_events,course_id,VARCHAR,no-op,Course identifier
